Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
314,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
315,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
316,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
317,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
318,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
319,1BetAllInAt12Dollars,12,10,12,10,36,FISH:12.0
320,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
321,1BetAllInAt12Dollars,12,10,12,5,0,FISH:12.0
322,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
323,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
324,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
325,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
326,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
327,1BetAllInAt12Dollars,12,10,12,7,0,FISH:12.0
328,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
329,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
330,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
331,1BetAllInAt12Dollars,12,10,12,10,84,FISH:12.0
332,1BetAllInAt12Dollars,12,10,12,7,0,FISH:12.0
333,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
334,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
335,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
336,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
337,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
338,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
339,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
340,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
341,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
342,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
343,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
344,1BetAllInAt12Dollars,12,10,12,10,24,FISH:12.0
345,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
346,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
347,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
348,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
349,1BetAllInAt12Dollars,12,10,12,10,72,FISH:12.0
350,1BetAllInAt12Dollars,12,10,12,10,72,FISH:12.0
351,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
352,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
353,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
354,1BetAllInAt12Dollars,12,10,12,10,24,FISH:12.0
355,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
356,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
357,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
358,1BetAllInAt12Dollars,12,10,12,10,72,FISH:12.0
359,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
360,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
361,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
362,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
363,1BetAllInAt12Dollars,12,10,12,10,60,FISH:12.0
364,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
365,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
366,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
367,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
368,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
369,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
370,1BetAllInAt12Dollars,12,10,12,10,60,FISH:12.0
371,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
372,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
373,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
374,1BetAllInAt12Dollars,12,10,12,7,0,FISH:12.0
375,1BetAllInAt12Dollars,12,10,12,5,0,FISH:12.0
376,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
377,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
378,1BetAllInAt12Dollars,12,10,12,8,0,FISH:12.0
379,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
380,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
381,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
382,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
383,1BetAllInAt12Dollars,12,10,12,10,24,FISH:12.0
384,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
