Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
312,ConserveBet1,12.0,10,6.0,10,42.0,FISH:6.0
313,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
314,ConserveBet1,12.0,10,6.0,10,42.0,FISH:6.0
315,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
316,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
317,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
318,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
319,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
320,ConserveBet1,12.0,10,6.0,10,24.0,FISH:6.0
321,ConserveBet1,12.0,10,6.0,10,24.0,FISH:6.0
322,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
323,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
324,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
325,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
326,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
327,ConserveBet1,12.0,10,6.0,8,0.0,FISH:6.0
328,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
329,ConserveBet1,12.0,10,6.0,10,6.0,FISH:6.0
330,ConserveBet1,12.0,10,6.0,10,24.0,FISH:6.0
331,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
332,ConserveBet1,12.0,10,6.0,10,48.0,FISH:6.0
333,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
334,ConserveBet1,12.0,10,6.0,10,36.0,FISH:6.0
335,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
336,ConserveBet1,12.0,10,6.0,10,24.0,FISH:6.0
337,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
338,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
339,ConserveBet1,12.0,10,6.0,8,0.0,FISH:6.0
340,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
341,ConserveBet1,12.0,10,6.0,10,36.0,FISH:6.0
342,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
343,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
344,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
345,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
346,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
347,ConserveBet1,12.0,10,6.0,10,6.0,FISH:6.0
348,ConserveBet1,12.0,10,6.0,10,0.0,FISH:6.0
349,ConserveBet1,12.0,10,6.0,10,24.0,FISH:6.0
350,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
351,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
352,ConserveBet1,12.0,10,6.0,10,24.0,FISH:6.0
353,ConserveBet1,12.0,10,6.0,10,12.0,FISH:6.0
354,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
355,ConserveBet1,12.0,10,6.0,10,36.0,FISH:6.0
