Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
294,ConserveBet2,12.0,10,6.0,7,0.0,CRAB:3.0|FISH:3.0
295,ConserveBet2,12.0,10,6.0,2,0.0,CRAB:3.0|FISH:3.0
296,ConserveBet2,12.0,10,6.0,7,3.0,CRAB:3.0|FISH:3.0
297,ConserveBet2,12.0,10,6.0,2,0.0,CRAB:3.0|FISH:3.0
298,ConserveBet2,12.0,10,6.0,10,27.0,CRAB:3.0|FISH:3.0
299,ConserveBet2,12.0,10,6.0,3,0.0,CRAB:3.0|FISH:3.0
300,ConserveBet2,12.0,10,6.0,4,3.0,CRAB:3.0|FISH:3.0
301,ConserveBet2,12.0,10,6.0,10,15.0,CRAB:3.0|FISH:3.0
302,ConserveBet2,12.0,10,6.0,4,3.0,CRAB:3.0|FISH:3.0
303,ConserveBet2,12.0,10,6.0,5,0.0,CRAB:3.0|FISH:3.0
304,ConserveBet2,12.0,10,6.0,6,3.0,CRAB:3.0|FISH:3.0
305,ConserveBet2,12.0,10,6.0,4,3.0,CRAB:3.0|FISH:3.0
306,ConserveBet2,12.0,10,6.0,10,15.0,CRAB:3.0|FISH:3.0
307,ConserveBet2,12.0,10,6.0,10,6.0,CRAB:3.0|FISH:3.0
308,ConserveBet2,12.0,10,6.0,10,12.0,CRAB:3.0|FISH:3.0
309,ConserveBet2,12.0,10,6.0,10,15.0,CRAB:3.0|FISH:3.0
310,ConserveBet2,12.0,10,6.0,10,12.0,CRAB:3.0|FISH:3.0
311,ConserveBet2,12.0,10,6.0,3,0.0,CRAB:3.0|FISH:3.0
312,ConserveBet2,12.0,10,6.0,3,0.0,CRAB:3.0|FISH:3.0
313,ConserveBet2,12.0,10,6.0,10,0.0,CRAB:3.0|FISH:3.0
314,ConserveBet2,12.0,10,6.0,5,3.0,CRAB:3.0|FISH:3.0
315,ConserveBet2,12.0,10,6.0,10,27.0,CRAB:3.0|FISH:3.0
316,ConserveBet2,12.0,10,6.0,10,12.0,CRAB:3.0|FISH:3.0
